MB_CODE_2021,MB_CATEGORY_NAME_2021,AREA_ALBERS_SQKM,Dwelling,Person,State,
50004360000,Residential,0.8386,28,57,5,
50004370000,Other,3.1675,62,187,5,
50004380000,Primary Production,3.7313,47,114,5,
50004390000,Residential,1.3558,48,151,5,
50004400000,Primary Production,1.1075,23,61,5,
50004410000,Primary Production,1.9391,42,116,5,
50004420000,Primary Production,3.7336,69,163,5,
50004430000,Primary Production,1.1833,21,45,5,
50004441000,Industrial,0.0499,0,6,5,
50004442000,Industrial,0.0409,0,0,5,
50004443000,Industrial,0.0441,0,0,5,
50004444000,Industrial,0.0703,0,0,5,
50004445000,Industrial,0.0316,0,0,5,
50004446000,Industrial,0.0431,0,3,5,
50004450000,Residential,0.2663,53,109,5,
50004460000,Primary Production,4.9293,21,82,5,
50004470000,Other,1.2118,33,70,5,
50004480000,Primary Production,7.4683,26,58,5,
50004490000,Residential,0.3195,84,210,5,
50004500000,Residential,0.2109,41,104,5,
50004510000,Residential,0.192,74,163,5,
50004521000,Residential,0.0694,50,154,5,
50004523000,Residential,0.0344,34,95,5,
50004524000,Residential,0.0655,60,160,5,
50004525000,Residential,0.0708,56,149,5,
50004526000,Parkland,0.0539,0,0,5,
50004527000,Residential,0.0346,31,65,5,
50004533000,Residential,0.0517,31,68,5,
50004560000,Primary Production,2.7761,48,122,5,
50004573000,Residential,0.4688,34,100,5,
50004574000,Residential,0.256,0,0,5,
50004575000,Residential,0.0349,45,112,5,
50004576000,Residential,0.0306,35,90,5,
50004580000,Residential,0.1784,49,111,5,
50004590000,Residential,0.1492,41,92,5,
50004600000,Residential,0.4051,40,104,5,
50004610000,Residential,0.113,50,150,5,
50004620000,Residential,0.0263,28,78,5,
50004630000,Residential,0.0543,49,123,5,
50004640000,Parkland,0.0355,0,0,5,
50004650000,Residential,0.2483,63,173,5,
50004660000,Residential,0.06,44,97,5,
50004670000,Residential,0.0474,43,103,5,
50004680000,Residential,0.0459,36,92,5,
50004690000,Residential,0.0493,41,79,5,
50004700000,Residential,0.067,54,147,5,
50004710000,Residential,0.3975,49,129,5,
50004720000,Residential,0.0894,45,102,5,
50004730000,Residential,0.0361,31,81,5,
50004740000,Residential,0.0464,37,85,5,
50004750000,Residential,0.0364,30,63,5,
50004761000,Residential,0.0248,23,65,5,
50004762000,Residential,0.0319,37,102,5,
50004770000,Residential,0.0569,49,120,5,
50004780000,Residential,0.0419,35,95,5,
50004790000,Residential,0.1591,32,66,5,
50004800000,Residential,0.1406,24,52,5,
50004810000,Residential,0.0473,42,96,5,
50004820000,Residential,0.0347,40,101,5,
50004830000,Residential,0.1019,37,98,5,
50004840000,Residential,0.1019,43,105,5,
50004850000,Residential,0.1643,54,146,5,
50004860000,Residential,0.1324,42,97,5,
50004870000,Residential,0.0763,45,62,5,
50004880000,Residential,0.6632,58,91,5,
50004890000,Primary Production,3.1797,31,82,5,
50004900000,Primary Production,3.4116,38,78,5,
50004911000,Residential,1.3166,59,185,5,
50004912000,Residential,1.2967,101,245,5,
50004920000,Primary Production,32.0394,33,86,5,
50004930000,Residential,1.5103,40,127,5,
50004940000,Residential,0.4714,56,134,5,
50004951000,Primary Production,6.0001,68,192,5,
50004952000,Primary Production,0.3547,49,134,5,
50004961000,Residential,0.3187,33,87,5,
50004962000,Residential,0.1705,19,46,5,
50004963000,Residential,0.2337,35,89,5,
50004964000,Residential,0.1042,13,39,5,
50004965000,Residential,0.1364,27,69,5,
50004970000,Other,3.7734,37,76,5,
50004982000,Residential,1.733,0,324,5,
50004984000,Other,1.2577,0,0,5,
50004990000,Residential,0.0547,31,54,5,
50005000000,Parkland,4.1992,0,0,5,
50005010000,Parkland,0.0002,0,0,5,
50005020000,Parkland,0.0007,0,0,5,
50005030000,Parkland,0.0043,0,0,5,
50005040000,Parkland,0.0001,0,0,5,
50005050000,Parkland,0.0017,0,0,5,
50005060000,Parkland,0.0033,0,0,5,
50005070000,Parkland,3.6209,0,4,5,
50005080000,Parkland,0.0017,0,0,5,
50005090000,Parkland,0.0013,0,0,5,
