toilets:disposal,pitlatrine: 19
shop,art: 19
brand:wikipedia,en:7-Eleven: 19
addr:suburb,North Fremantle: 19
brand,Bakers Delight: 19
brand:wikidata,Q4849261: 19
local_ref,9: 19
backcountry,yes: 19
amenity,charging_station: 19
shop,mobile_phone: 19
check_date,2023-03-26: 19
seats,6: 19
check_date,2023-07-12: 19
name,Bush to Beach: 19
addr:postcode,6004: 18
addr:street,High Street: 18
addr:postcode,6147: 18
addr:housenumber,36: 18
addr:city,Willetton: 18
addr:city,Canning Vale: 18
supervised,yes: 18
addr:street,Roe Street: 18
addr:housenumber,37: 18
brand,Chemist Warehouse: 18
brand:wikidata,Q48782120: 18
name,Chemist Warehouse: 18
brand:wikipedia,en:Australia and New Zealand Banking Group: 18
shop,toys: 18
addr:unit,5: 18
psv,no: 18
addr:housenumber,276: 18
opening_hours,Mo-Fr 08:00-16:00: 18
name,Muzz Buzz: 18
drinking_water,no: 18
check_date,2023-07-28: 18
addr:unit,6: 18
addr:unit,7: 18
survey:date,2022-08-14: 18
brand:wikipedia,en:Commonwealth Bank: 18
operator,Department of Parks & Wildlife: 18
water,yes: 18
website,https://www.bibbulmuntrack.org.au: 18
addr:postcode,6019: 17
addr:postcode,6110: 17
amenity,prison: 17
shower,yes: 17
addr:housenumber,22: 17
created_by,Potlatch 0.10: 17
barrier,fence: 17
source,nearmap: 17
microbrewery,yes: 17
building,hotel: 17
survey:date,2024-01-20: 17
brand,Dan Murphy's: 17
brand:wikidata,Q5214075: 17
name,Dan Murphy's: 17
brand,JB Hi-Fi: 17
brand:wikidata,Q3310113: 17
name,JB Hi-Fi: 17
brand,United: 17
brand:wikidata,Q28224393: 17
brand:wikipedia,en:Kmart Australia: 17
brand,Muzz Buzz: 17
brand:wikidata,Q6944483: 17
level,2: 17
addr:suburb,Nedlands: 17
attraction,animal: 17
shop,antiques: 17
healthcare,alternative: 17
healthcare:speciality,general: 17
informal,stockpile: 17
artist_name,Brenton See: 17
check_date,2022-10-03: 17
operator:wikidata,Q714641: 17
check_date,2022-08-04: 17
maxlength,8: 17
maxwidth,4: 17
check_date,2023-05-10: 17
addr:postcode,6151: 16
addr:postcode,6156: 16
seamark:harbour:category,marina: 16
seamark:type,harbour: 16
addr:housenumber,39: 16
addr:housenumber,55: 16
addr:suburb,Kalamunda: 16
addr:suburb,Joondalup: 16
amenity,waste_transfer_station: 16
website,https://www.police.wa.gov.au/: 16
smoking,outside: 16
capacity,18: 16
brand:wikipedia,en:Dan Murphy's: 16
website,https://www.bunnings.com.au/: 16
brand:wikipedia,en:Zambrero: 16
amenity,food_court: 16
addr:street,Aberdeen Street: 16
addr:postcode,6171: 16
addr:suburb,Booragoon: 16
building:part,yes: 16
service:bicycle:repair,yes: 16
brand,Bendigo Bank: 16
brand:wikidata,Q4887077: 16
parking,lane: 16
brand:wikipedia,en:Puma Energy: 16
check_date,2023-03-09: 16
recycling_type,centre: 16
access,unknown: 16
operator,Westpac: 16
survey:date,2022-05-12: 16
landuse,recreation_ground: 15
operator,City of Vincent: 15
addr:housenumber,29: 15
addr:housenumber,40: 15
addr:postcode,6108: 15
addr:suburb,Rockingham: 15
operator,City of Joondalup: 15
addr:street,Kalamunda Road: 15
addr:postcode,6064: 15
addr:street,George Street: 15
addr:postcode,6054: 15
operator,Perth Airport: 15
roof:shape,flat: 15
second_hand,only: 15
capacity,50: 15
fuel:discount,Woolworths: 15
operator,EG Australia: 15
operator:wikidata,Q5023980: 15
addr:city,Ellenbrook: 15
toilets,no: 15
name,Puma: 15
operator,Transwa: 15
name,Shell: 15
brand:wikipedia,en:Nando's: 15
name,Bendigo Bank: 15
shop,variety_store: 15
brand:wikipedia,en:IGA (supermarkets): 15
second_hand,yes: 15
brand,Thirsty Camel: 15
brand:wikidata,Q113503937: 15
name,Thirsty Camel: 15
shop,copyshop: 15
healthcare:speciality,chiropractic: 15
operator,Bankwest: 15
operator:wikidata,Q4856817: 15
check_date,2023-04-11: 15
addr:unit,8: 15
board_type,history: 15
colour,Stainless steel: 15
check_date,2023-03-18: 15
artist:wikidata,Q56877162: 15
golf:par,72: 14
addr:city,Claremont: 14
addr:postcode,6149: 14
operator,City of Subiaco: 14
capacity:disabled,yes: 14
addr:postcode,6012: 14
addr:housenumber,34: 14
addr:housenumber,12: 14
natural,scrub: 14
addr:city,Balcatta: 14
addr:housenumber,38: 14
addr:housenumber,27: 14
addr:postcode,6100: 14
brand:wikipedia,en:JB Hi-Fi: 14
sport,beachvolleyball: 14
denomination,jehovahs_witness: 14
cuisine,french: 14
surface,gravel: 14
brand:wikipedia,en:BWS (liquor retailer): 14
capacity,11: 14
min_age,18: 14
hgv,no: 14
addr:suburb,Baldivis: 14
opening_hours,Mo-Fr 08:00-17:00: 14
shop,kiosk: 14
